route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0082","36","1","82 | Romillé Langan Chap. Béch. Miniac","","0","1366942","","1",""
"0074","13","1175","74 | Orgères Bourgbarré","","0","1362043","","1",""
"0072","43","11750","72 | Chartres Pont-Péan Laillé","","0","1372042","","1",""
"0072","13","11751","72 | Chartres Pont-Péan","","0","1361959","","1",""
"0072","17","11752","72 | Chartres Pont-Péan","","0","1361314","","1",""
"0072","21","11753","72 | Chartres Pont-Péan","","0","1361480","","1",""
"0072","35","11754","72 | Chartres Pont-Péan","","0","1366783","","1",""
"0072","41","11755","72 | Chartres Pont-Péan","","0","1372230","","1",""
"0072","43","11756","72 | Chartres Pont-Péan","","0","1371975","","1",""
"0072","13","11757","72 | Chartres Pont-Péan","","0","1362030","","1",""
"0072","17","11758","72 | Chartres Pont-Péan","","0","1361247","","1",""
"0072","21","11759","72 | Chartres Pont-Péan","","0","1361552","","1",""
"0074","17","1176","74 | Orgères Bourgbarré","","0","1361172","","1",""
"0072","35","11760","72 | Chartres Pont-Péan","","0","1366853","","1",""
"0072","41","11761","72 | Chartres Pont-Péan","","0","1372378","","1",""
"0072","43","11762","72 | Chartres Pont-Péan","","0","1372123","","1",""
"0072","13","11763","72 | Chartres Pont-Péan Laillé","","0","1362028","","1",""
"0072","17","11764","72 | Chartres Pont-Péan Laillé","","0","1361394","","1",""
"0072","21","11765","72 | Chartres Pont-Péan Laillé","","0","1361549","","1",""
"0072","35","11766","72 | Chartres Pont-Péan Laillé","","0","1366851","","1",""
"0072","41","11767","72 | Chartres Pont-Péan Laillé","","0","1372296","","1",""
"0072","43","11768","72 | Chartres Pont-Péan Laillé","","0","1372041","","1",""
"0072","13","11769","72 | Chartres Pont-Péan","","0","1362029","","1",""
"0074","21","1177","74 | Orgères Bourgbarré","","0","1361565","","1",""
"0072","17","11770","72 | Chartres Pont-Péan","","0","1361395","","1",""
"0072","21","11771","72 | Chartres Pont-Péan","","0","1361550","","1",""
"0072","35","11772","72 | Chartres Pont-Péan","","0","1366852","","1",""
"0072","41","11773","72 | Chartres Pont-Péan","","0","1372297","","1",""
"0072","43","11774","72 | Chartres Pont-Péan","","0","1372042","","1",""
"0072","13","11775","72 | Rennes Henri Fréville via T. Tizon / Mivoie","","1","1361959","","1",""
